88,RandomPlayer,260729564,1,260729564,36,game00088.log,
89,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00089.log,
90,RandomPlayer,260729564,0,RandomPlayer,37,game00090.log,TIMEOUT
91,260729564,RandomPlayer,0,260729564,19,game00091.log,
92,RandomPlayer,260729564,1,260729564,12,game00092.log,
93,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00093.log,
94,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00094.log,
95,260729564,RandomPlayer,0,260729564,31,game00095.log,
96,RandomPlayer,260729564,1,260729564,28,game00096.log,
97,260729564,RandomPlayer,1,RandomPlayer,40,game00097.log,TIMEOUT
98,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00098.log,
99,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00099.log,
100,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00100.log,
101,260729564,RandomPlayer,0,260729564,25,game00101.log,
102,RandomPlayer,260729564,1,260729564,28,game00102.log,
103,260729564,RandomPlayer,0,260729564,35,game00103.log,
104,RandomPlayer,260729564,0,RandomPlayer,43,game00104.log,TIMEOUT
105,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00105.log,
106,RandomPlayer,260729564,1,260729564,28,game00106.log,
107,260729564,RandomPlayer,0,260729564,43,game00107.log,
108,RandomPlayer,260729564,1,260729564,36,game00108.log,
109,260729564,RandomPlayer,0,260729564,45,game00109.log,
110,RandomPlayer,260729564,1,260729564,24,game00110.log,
111,260729564,RandomPlayer,0,260729564,39,game00111.log,
112,RandomPlayer,260729564,1,260729564,44,game00112.log,
113,260729564,RandomPlayer,0,260729564,29,game00113.log,
114,RandomPlayer,260729564,1,260729564,30,game00114.log,
115,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00115.log,
116,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00116.log,
117,260729564,RandomPlayer,0,260729564,23,game00117.log,
118,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00118.log,
119,260729564,RandomPlayer,0,260729564,33,game00119.log,
120,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00120.log,
121,260729564,RandomPlayer,0,260729564,23,game00121.log,
122,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00122.log,
123,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00123.log,
124,RandomPlayer,260729564,1,260729564,22,game00124.log,
125,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00125.log,
126,RandomPlayer,260729564,1,260729564,24,game00126.log,
127,260729564,RandomPlayer,1,RandomPlayer,36,game00127.log,TIMEOUT
128,RandomPlayer,260729564,1,260729564,32,game00128.log,
129,260729564,RandomPlayer,0,260729564,21,game00129.log,
130,RandomPlayer,260729564,1,260729564,22,game00130.log,
131,260729564,RandomPlayer,1,RandomPlayer,28,game00131.log,TIMEOUT
132,RandomPlayer,260729564,1,260729564,36,game00132.log,
133,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00133.log,
134,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00134.log,
135,260729564,RandomPlayer,1,RandomPlayer,46,game00135.log,
136,RandomPlayer,260729564,1,260729564,22,game00136.log,
137,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00137.log,
138,RandomPlayer,260729564,1,260729564,28,game00138.log,
139,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00139.log,
140,RandomPlayer,260729564,1,260729564,28,game00140.log,
141,260729564,RandomPlayer,0,260729564,33,game00141.log,
142,RandomPlayer,260729564,1,260729564,36,game00142.log,
143,260729564,RandomPlayer,0,260729564,27,game00143.log,
144,RandomPlayer,260729564,1,260729564,18,game00144.log,
145,260729564,RandomPlayer,0,260729564,37,game00145.log,
146,RandomPlayer,260729564,1,260729564,32,game00146.log,
147,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00147.log,
148,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00148.log,
149,260729564,RandomPlayer,0,260729564,41,game00149.log,
150,RandomPlayer,260729564,1,260729564,32,game00150.log,
151,260729564,RandomPlayer,1,RandomPlayer,22,game00151.log,TIMEOUT
152,RandomPlayer,260729564,1,260729564,36,game00152.log,
153,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00153.log,
154,RandomPlayer,260729564,1,260729564,22,game00154.log,
155,260729564,RandomPlayer,0,260729564,9,game00155.log,
156,RandomPlayer,260729564,1,260729564,20,game00156.log,
157,260729564,RandomPlayer,0,260729564,37,game00157.log,
158,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00158.log,
159,260729564,RandomPlayer,0,260729564,37,game00159.log,
160,RandomPlayer,260729564,1,260729564,34,game00160.log,
161,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00161.log,
162,RandomPlayer,260729564,1,260729564,28,game00162.log,
163,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00163.log,
164,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00164.log,
165,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00165.log,
166,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00166.log,
167,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00167.log,
168,RandomPlayer,260729564,1,260729564,44,game00168.log,
169,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00169.log,
170,RandomPlayer,260729564,1,260729564,22,game00170.log,
171,260729564,RandomPlayer,1,RandomPlayer,20,game00171.log,
172,RandomPlayer,260729564,0,RandomPlayer,33,game00172.log,TIMEOUT
173,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00173.log,
174,RandomPlayer,260729564,0,RandomPlayer,17,game00174.log,
175,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00175.log,
176,RandomPlayer,260729564,0,RandomPlayer,39,game00176.log,TIMEOUT
177,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00177.log,
178,RandomPlayer,260729564,1,260729564,24,game00178.log,
179,260729564,RandomPlayer,0,260729564,37,game00179.log,
180,RandomPlayer,260729564,1,260729564,42,game00180.log,
181,260729564,RandomPlayer,0,260729564,27,game00181.log,
182,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00182.log,
183,260729564,RandomPlayer,0,260729564,41,game00183.log,
184,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00184.log,
185,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00185.log,
186,RandomPlayer,260729564,1,260729564,28,game00186.log,
187,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00187.log,
188,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00188.log,
189,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00189.log,
190,RandomPlayer,260729564,1,260729564,22,game00190.log,
191,260729564,RandomPlayer,1,RandomPlayer,28,game00191.log,TIMEOUT
192,RandomPlayer,260729564,0,RandomPlayer,39,game00192.log,TIMEOUT
193,260729564,RandomPlayer,0,260729564,29,game00193.log,
194,RandomPlayer,260729564,1,260729564,28,game00194.log,
195,260729564,RandomPlayer,0,260729564,41,game00195.log,
196,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00196.log,
197,260729564,RandomPlayer,0,260729564,17,game00197.log,
198,RandomPlayer,260729564,0,RandomPlayer,31,game00198.log,TIMEOUT
199,260729564,RandomPlayer,0,260729564,27,game00199.log,
200,RandomPlayer,260729564,1,260729564,30,game00200.log,
201,260729564,RandomPlayer,1,RandomPlayer,42,game00201.log,TIMEOUT
202,RandomPlayer,260729564,1,260729564,38,game00202.log,
203,260729564,RandomPlayer,0,260729564,37,game00203.log,
204,RandomPlayer,260729564,1,260729564,30,game00204.log,
205,260729564,RandomPlayer,0,260729564,29,game00205.log,
206,RandomPlayer,260729564,1,260729564,36,game00206.log,
207,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00207.log,
208,RandomPlayer,260729564,0,RandomPlayer,39,game00208.log,TIMEOUT
209,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00209.log,
210,RandomPlayer,260729564,0,RandomPlayer,29,game00210.log,
211,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00211.log,
212,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00212.log,
213,260729564,RandomPlayer,1,RandomPlayer,48,game00213.log,TIMEOUT
214,RandomPlayer,260729564,0,RandomPlayer,41,game00214.log,TIMEOUT
215,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00215.log,
216,RandomPlayer,260729564,1,260729564,34,game00216.log,
217,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00217.log,
218,RandomPlayer,260729564,1,260729564,16,game00218.log,
219,260729564,RandomPlayer,0,260729564,29,game00219.log,
220,RandomPlayer,260729564,1,260729564,18,game00220.log,
221,260729564,RandomPlayer,1,RandomPlayer,32,game00221.log,TIMEOUT
222,RandomPlayer,260729564,0,RandomPlayer,31,game00222.log,TIMEOUT
223,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00223.log,
224,RandomPlayer,260729564,1,260729564,18,game00224.log,
225,260729564,RandomPlayer,1,RandomPlayer,40,game00225.log,
226,RandomPlayer,260729564,0,RandomPlayer,35,game00226.log,TIMEOUT
227,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00227.log,
228,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00228.log,
229,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00229.log,
230,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00230.log,
231,260729564,RandomPlayer,1,RandomPlayer,42,game00231.log,TIMEOUT
232,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00232.log,
233,260729564,RandomPlayer,1,RandomPlayer,34,game00233.log,TIMEOUT
234,RandomPlayer,260729564,1,260729564,18,game00234.log,
235,260729564,RandomPlayer,0,260729564,19,game00235.log,
236,RandomPlayer,260729564,0,RandomPlayer,27,game00236.log,
237,260729564,RandomPlayer,0,260729564,23,game00237.log,
238,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00238.log,
239,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00239.log,
240,RandomPlayer,260729564,1,260729564,28,game00240.log,
241,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00241.log,
242,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00242.log,
243,260729564,RandomPlayer,1,RandomPlayer,22,game00243.log,TIMEOUT
244,RandomPlayer,260729564,1,260729564,28,game00244.log,
245,260729564,RandomPlayer,0,260729564,19,game00245.log,
246,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00246.log,
247,260729564,RandomPlayer,1,RandomPlayer,40,game00247.log,TIMEOUT
248,RandomPlayer,260729564,0,RandomPlayer,25,game00248.log,
249,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00249.log,
250,RandomPlayer,260729564,0,RandomPlayer,19,game00250.log,TIMEOUT
251,260729564,RandomPlayer,0,260729564,27,game00251.log,
252,RandomPlayer,260729564,1,260729564,40,game00252.log,
253,260729564,RandomPlayer,0,260729564,21,game00253.log,
254,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00254.log,
255,260729564,RandomPlayer,0,260729564,35,game00255.log,
256,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00256.log,
257,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00257.log,
258,RandomPlayer,260729564,0,RandomPlayer,15,game00258.log,
259,260729564,RandomPlayer,0,260729564,31,game00259.log,
260,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00260.log,
261,260729564,RandomPlayer,0,260729564,35,game00261.log,
262,RandomPlayer,260729564,1,260729564,26,game00262.log,
263,260729564,RandomPlayer,0,260729564,41,game00263.log,
264,RandomPlayer,260729564,1,260729564,18,game00264.log,
265,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00265.log,
266,RandomPlayer,260729564,1,260729564,22,game00266.log,
267,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00267.log,
268,RandomPlayer,260729564,1,260729564,34,game00268.log,
269,260729564,RandomPlayer,1,RandomPlayer,38,game00269.log,TIMEOUT
270,RandomPlayer,260729564,1,260729564,30,game00270.log,
271,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00271.log,
272,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00272.log,
273,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00273.log,
274,RandomPlayer,260729564,0,RandomPlayer,29,game00274.log,TIMEOUT
275,260729564,RandomPlayer,1,RandomPlayer,28,game00275.log,
276,RandomPlayer,260729564,1,260729564,28,game00276.log,
277,260729564,RandomPlayer,0,260729564,15,game00277.log,
278,RandomPlayer,260729564,1,260729564,26,game00278.log,
279,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00279.log,
280,RandomPlayer,260729564,1,260729564,20,game00280.log,
281,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00281.log,
282,RandomPlayer,260729564,0,RandomPlayer,33,game00282.log,TIMEOUT
283,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00283.log,
284,RandomPlayer,260729564,1,260729564,38,game00284.log,
